"TaskName","TaskPath","State","Execute","Arguments","WorkingDirectory","StartWhenAvailable","WakeToRun","DisallowStartIfOnBatteries","StopIfGoingOnBatteries","MultipleInstances","Enabled","LastRunTime","LastTaskResult","NextRunTime","NumberOfMissedRuns","XmlPath"
"Euru_Morning_Scan","\","Disabled","python","euru_morning_scan.py","C:\Users\andre\Desktop\EURO MAIN","True","False","True","True","IgnoreNew","False","25/04/2026 11:09:36","0","28/04/2026 7:00:00","2","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Morning_Scan.xml"
"Euru_Asian_Scan","\","Disabled","python","euru_asian_scan.py","C:\Users\andre\Desktop\EURO MAIN","True","False","True","True","IgnoreNew","False","25/04/2026 11:09:36","0","28/04/2026 2:00:00","2","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Asian_Scan.xml"
"Euru_Journal_Auditor","\","Ready","python","euru_journal_auditor.py --root ""C:\Users\andre\Desktop\EURO MAIN"" --cycle morning","C:\Users\andre\Desktop\EURO MAIN","True","False","True","True","IgnoreNew","True","27/04/2026 7:30:02","0","28/04/2026 7:30:00","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Journal_Auditor.xml"
"Euru_Smoke_Test_Night","\","Ready","C:\Users\andre\Desktop\Euru_TOS\scripts\run_smoke_test.bat",,,"True","True","True","False","IgnoreNew","True","26/04/2026 18:21:17","1","27/04/2026 18:21:16","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Smoke_Test_Night.xml"
"Euru_GitHub_Sync","\","Disabled","powershell.exe","-NoProfile -NonInteractive -ExecutionPolicy Bypass -File ""C:\Users\andre\Desktop\EURO MAIN\euru_github_sync.ps1""",,"True","False","True","True","IgnoreNew","False","24/04/2026 20:00:01","1","27/04/2026 20:00:00","2","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_GitHub_Sync.xml"
"Euru_Friday_Cycle","\","Disabled","python","euru_friday_cycle.py --root ""C:\Users\andre\Desktop\EURO MAIN""","C:\Users\andre\Desktop\EURO MAIN","True","False","True","True","IgnoreNew","False","24/04/2026 20:30:00","1","01/05/2026 20:30:00","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Friday_Cycle.xml"
"EuruLearningEngine","\","Disabled","""C:\Users\andre\AppData\Local\Programs\Python\Python314\python.exe""","""C:\Users\andre\Desktop\Euru_TOS\euru_learning_engine.py""",,"True","False","False","False","IgnoreNew","False","24/04/2026 20:30:00","2","01/05/2026 20:30:00","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\EuruLearningEngine.xml"
"Euru_Daily_Audit","\","Ready","C:\Users\andre\AppData\Local\Programs\Python\Python314\python.exe","""C:\Users\andre\Desktop\EURO MAIN\euru_daily_audit.py"" --mode daily","C:\Users\andre\Desktop\EURO MAIN","True","False","False","False","IgnoreNew","True","27/04/2026 8:30:02","0","28/04/2026 8:30:00","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Daily_Audit.xml"
"Euru_Weekly_Audit","\","Ready","C:\Users\andre\AppData\Local\Programs\Python\Python314\python.exe","""C:\Users\andre\Desktop\EURO MAIN\euru_daily_audit.py"" --mode weekly","C:\Users\andre\Desktop\EURO MAIN","True","False","False","False","IgnoreNew","True","25/04/2026 11:09:36","0","02/05/2026 9:00:00","0","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\scheduled_tasks_before\Euru_Weekly_Audit.xml"
