"Repo","Tag","Result","Head"
"C:\Users\andre\Desktop\EURO MAIN","pre-migration-2026-04-27-euro-main","CREATED","aaf5ec9"
"C:\Users\andre\Desktop\EURU TOS MAIN","pre-migration-2026-04-27-euru-tos-main","CREATED","d3c40c4"
