"Repo","Branch","Head","Status","Remote","Log3"
"C:\Users\andre\Desktop\EURO MAIN","main","aaf5ec9"," ? Euru_TOSOld_02026-04-10 |  ? Euru_TOS_GITHUB","origin	https://github.com/andre-marcal-blockchain/Euru_TOS.git (fetch) | origin	https://github.com/andre-marcal-blockchain/Euru_TOS.git (push)","aaf5ec9 (HEAD -> main, tag: pre-migration-2026-04-27-euro-main, origin/main, origin/HEAD) Euru OS — 2026-04-27 09:33 — morning scan report | 8dfe704 Euru OS — 2026-04-27 08:30 — audit report | f8b4a7d Euru OS — 2026-04-26 08:39 — audit report"
"C:\Users\andre\Desktop\EURU TOS MAIN","main","d3c40c4","","origin	https://github.com/andre-marcal-blockchain/EURU_TOS_MAIN.git (fetch) | origin	https://github.com/andre-marcal-blockchain/EURU_TOS_MAIN.git (push)","d3c40c4 (HEAD -> main, tag: pre-migration-2026-04-27-euru-tos-main, origin/main) Euru OS — 2026-04-25 — Add Claude advisory review for consolidation | 10673d7 Euru OS — 2026-04-25 — Type 3 proposal: Operational migration to EURU TOS MAIN (48h cooling-off) | 6905472 Add trade metrics calculator"
