"Path","Hash"
"C:\Users\andre\Desktop\BACKUP_EURO_MAIN_2026-04-27_0934.zip","1216223F5434ED19EDCA7A9FD1A953475A5FC8E36E138274BAE6C61A82D39A99"
"C:\Users\andre\Desktop\BACKUP_EURU_TOS_MAIN_2026-04-27_0936.zip","115D749B6303661E5B859D89C377598A03EDA34C7364A65A4531D34EF2C09EBA"
