"Source","BackupPath","Exists","SHA256"
"C:\Users\andre\Documents\WindowsPowerShell\Microsoft.PowerShell_profile.ps1","C:\Users\andre\Desktop\EURU_MIGRATION_B0_2026-04-27\powershell_profiles\WindowsPowerShell_profile.ps1","True","857B1A744352E3FF5DC7FAAA88EE66B9019E1090513F20318E3697C7E6448643"
"C:\Users\andre\Documents\PowerShell\Microsoft.PowerShell_profile.ps1","","False",""
